id_categoria,nombre,descripcion,precio,costo,stock
1,Smartphone Modelo 1,Descripción del producto Smartphone Modelo 1,350.79,227.69,72
5,Novela Vol. 2,Descripción del producto Novela Vol. 2,18.51,12.48,77
5,Ciencia Vol. 3,Descripción del producto Ciencia Vol. 3,45.14,28.05,57
4,Bicicleta Pro 4,Descripción del producto Bicicleta Pro 4,359.87,151.09,78
3,Lámpara Home 5,Descripción del producto Lámpara Home 5,674.72,413.22,32
5,Biografía Vol. 6,Descripción del producto Biografía Vol. 6,27.44,14.1,59
2,Zapatos Estilo 7,Descripción del producto Zapatos Estilo 7,120.73,83.18,91
5,Cocina Vol. 8,Descripción del producto Cocina Vol. 8,20.36,9.33,17
2,Zapatos Estilo 9,Descripción del producto Zapatos Estilo 9,124.81,84.04,78
5,Ciencia Vol. 10,Descripción del producto Ciencia Vol. 10,24.86,11.7,84
3,Lámpara Home 11,Descripción del producto Lámpara Home 11,303.09,210.7,6
1,Smartwatch Modelo 12,Descripción del producto Smartwatch Modelo 12,1374.18,887.62,11
4,Balón Pro 13,Descripción del producto Balón Pro 13,464.43,201.13,82
4,Balón Pro 14,Descripción del producto Balón Pro 14,140.94,82.28,29
5,Novela Vol. 15,Descripción del producto Novela Vol. 15,35.89,16.28,98
4,Zapatillas Pro 16,Descripción del producto Zapatillas Pro 16,84.19,49.01,60
2,Vestido Estilo 17,Descripción del producto Vestido Estilo 17,129.93,70.12,27
3,Cortinas Home 18,Descripción del producto Cortinas Home 18,743.44,309.08,93
4,Mancuernas Pro 19,Descripción del producto Mancuernas Pro 19,32.88,13.33,78
1,Smartphone Modelo 20,Descripción del producto Smartphone Modelo 20,794.87,549.11,10
3,Mesa Home 21,Descripción del producto Mesa Home 21,508.73,229.81,72
3,Cortinas Home 22,Descripción del producto Cortinas Home 22,307.76,191.25,53
4,Mancuernas Pro 23,Descripción del producto Mancuernas Pro 23,136.14,89.03,67
3,Mesa Home 24,Descripción del producto Mesa Home 24,716.54,328.31,52
4,Zapatillas Pro 25,Descripción del producto Zapatillas Pro 25,297.78,189.69,6
3,Lámpara Home 26,Descripción del producto Lámpara Home 26,377.91,151.9,47
3,Cortinas Home 27,Descripción del producto Cortinas Home 27,426.39,198.51,21
2,Vestido Estilo 28,Descripción del producto Vestido Estilo 28,65.93,32.77,19
3,Vajilla Home 29,Descripción del producto Vajilla Home 29,770.28,432.32,63
4,Bicicleta Pro 30,Descripción del producto Bicicleta Pro 30,249.1,164.47,72
5,Cocina Vol. 31,Descripción del producto Cocina Vol. 31,39.04,24.49,66
5,Historia Vol. 32,Descripción del producto Historia Vol. 32,45.98,25.16,25
1,Smartwatch Modelo 33,Descripción del producto Smartwatch Modelo 33,524.24,218.09,15
4,Balón Pro 34,Descripción del producto Balón Pro 34,462.8,244.25,42
5,Cocina Vol. 35,Descripción del producto Cocina Vol. 35,14.31,8.58,0
4,Zapatillas Pro 36,Descripción del producto Zapatillas Pro 36,229.52,153.19,91
3,Vajilla Home 37,Descripción del producto Vajilla Home 37,248.99,135.29,55
4,Zapatillas Pro 38,Descripción del producto Zapatillas Pro 38,141.19,89.98,45
4,Balón Pro 39,Descripción del producto Balón Pro 39,253.05,156.96,64
5,Historia Vol. 40,Descripción del producto Historia Vol. 40,26.62,15.63,98
3,Mesa Home 41,Descripción del producto Mesa Home 41,649.44,351.44,72
3,Mesa Home 42,Descripción del producto Mesa Home 42,492.84,315.49,56
3,Vajilla Home 43,Descripción del producto Vajilla Home 43,651.51,418.55,23
2,Chaqueta Estilo 44,Descripción del producto Chaqueta Estilo 44,25.09,17.54,53
4,Mancuernas Pro 45,Descripción del producto Mancuernas Pro 45,159.26,83.98,10
4,Raqueta Pro 46,Descripción del producto Raqueta Pro 46,244.16,122.63,85
3,Mesa Home 47,Descripción del producto Mesa Home 47,500.15,229.42,15
1,Smartwatch Modelo 48,Descripción del producto Smartwatch Modelo 48,1249.3,857.32,32
3,Vajilla Home 49,Descripción del producto Vajilla Home 49,602.87,305.13,15
4,Balón Pro 50,Descripción del producto Balón Pro 50,239.55,106.87,25
